"Value","Name","Quantity"
"100 nF","CAP_1206","10"
"22 pF","CAP_1206","2"
"470 pF","CAP_1206","2"
"4.7 uF, 400V","CAP_POLARIZED2","1"
"470 uF","CAP600AP","2"
"50 nF","CAP_1206","1"
"","DIODE_1206","3"
"HER106","DIO_SCHOTTKY","1"
"BLUE","DIO_LED_2","1"
"GREEN","DIO_LED_2","2"
"RED","DIO_LED_2","2"
"YELLOW","DIO_LED_2","2"
"K155ID1","K155ID1","1"
"HC-06","BT HC-06","1"
"6V/1W","LAMP","3"
"180V","CON_MALE","1"
"TEMP","CON_MALE","1"
"SCL","CON_MALE","1"
"SDA","CON_MALE","1"
"","JUMPER","1"
"","CON_FEMALE","2"
"DOT","CON_MALE","1"
"","FC-6P L-Connector","1"
"270 uH","IND_AIR_CORE","2"
"8 Ohm","SPEAKER","1"
"","RES_PHOTO","1"
"BC557","BC557A","1"
"BC547A","BC547A","2"
"IRF840","IRF840S","1"
"MPSA42","NPN","7"
"MPSA92","PNP","6"
"","BC847","3"
"","BC847A","2"
"11 kOm","RES_1206","1"
"2 kOm","RES_1206","1"
"4.7 kOhm","RES_1206","7"
"100 Ohm","RES_1206","4"
"4.7 kOm","RES_1206","2"
"10 kOm","RES_1206","1"
"0.33 Ohm","RES_1206","2"
"470 kOhm","RES_1206","7"
"3.3 kOhm","RES_1206","2"
"330 Ohm","RES_1206","2"
"1 kOm","RES_1206","1"
"12 kOm","RES_1206","6"
"10kOm","RES_1206","12"
"20 kOhm","RES_1206","1"
"2.2 kOhm","RES_1206","5"
"2.2 kOhm (V2.0)","RES_1206","1"
"150 Ohm","RES_1206","1"
"1 kOhm","RES_1206","7"
"1 MOhm","RES_1206","1"
"10 kOhm","RES_1206","1"
"4.7 KOhm","RES_1206","1"
"1 KOhm","RES_1206","1"
"10 KOhm","RES_1206","1"
"","PUSHBUTTON_NO","5"
"","DS3231SN","1"
"","LM35DZ","1"
"","ATTINY85_SOIC","1"
"","ATMEGA168_PDIP","1"
"MC34063","MC34063AP1","2"
"IN-14","IN-14","6"
"","LM386M-1","1"
"16 MHz","CRYSTAL","1"
